,Tamaina,Gamma,Beta,Erakitzailea,ILS,ILS time
32,200,0.4,0.3,0.0309270923260244,0.21341743961385448,20.231963109970092
33,200,0.4,0.4,0.1088979277754363,0.2176379132986821,19.66050043106079
34,200,0.4,0.5,0.06980516855915567,0.2100110519466174,19.972645235061645
35,200,0.4,0.6,0.09014898838589128,0.21312444886823992,20.16568880081177
,200,0.4,0.7,0.03920846217500581,0.2003478185209891,20.86760902404785
36,200,0.5,0.3,0.0160215275382298,0.2087069407582339,19.112937879562377
37,200,0.5,0.4,0.029416073393317865,0.2054837648693729,19.27209053039551
38,200,0.5,0.5,0.055002039457485795,0.21249956032875686,19.500304317474367
39,200,0.5,0.6,0.1586943831304469,0.2337660418295507,22.11135129928589
,200,0.5,0.7,0.03770102232048918,0.21620483187897283,20.445139789581297
40,200,0.6,0.3,0.0549274650438221,0.22844703797340254,19.736096334457397
41,200,0.6,0.4,0.04019588665182788,0.1947613402783906,19.15168685913086
42,200,0.6,0.5,0.05079258069432883,0.2138107062570309,19.315387153625487
43,200,0.6,0.6,0.046727118120070674,0.2058826778169351,19.54154977798462
,200,0.6,0.7,0.007435041273559435,0.2005589532800709,20.014964866638184
44,200,0.7,0.3,0.10349947455429676,0.21768379337858193,19.750038051605223
45,200,0.7,0.4,0.058933502578479,0.2193856759120016,19.54337058067322
46,200,0.7,0.5,0.06021046213921505,0.20128803619065133,19.120657110214232
47,200,0.7,0.6,0.07269925437927985,0.20524628068982415,20.23575863838196
,200,0.7,0.7,0.09496417527856645,0.21401844706265666,20.37249846458435
,200,0.8,0.3,0.07192225501672603,0.2152160806748907,23.588919115066528
,200,0.8,0.4,0.05741804065215741,0.20962950986992518,26.803507232666014
,200,0.8,0.5,0.029401448539334997,0.1943079698049217,28.597606086730956
,200,0.8,0.6,0.08261376377713697,0.20775178969336555,29.642598962783815
,200,0.8,0.7,0.025378194404419796,0.22983710874658833,32.330726623535156
