;Tamaina;Gamma;Beta;Erakitzailea;ILS;ILS time
0;50;0.3;0.3;0.00541508359307362;0.009624388085618956;8.074202394485473
1;50;0.3;0.4;0.007261240002493013;0.02444908421879522;8.63828248977661
2;50;0.3;0.5;0.005342699822095132;0.017799496337307142;8.711967468261719
3;50;0.3;0.6;0.007075436477841496;0.02121045041464855;9.067907285690307
4;50;0.3;0.7;0.007214280028311743;0.024288766199185578;10.014248371124268
5;50;0.3;0.8;0.007472097074473829;0.022029874195401623;9.981131267547607
6;50;0.3;0.9;0.00753016453269272;0.027664022056994968;10.221443033218383
7;50;0.4;0.3;0.00906669982456346;0.02324213266161852;10.602047157287597
8;50;0.4;0.4;0.004730430618643665;0.021738827259493658;10.742752742767333
9;50;0.4;0.5;0.010112191759604426;0.022796815114076947;11.219064474105835
10;50;0.4;0.6;0.005096082822337643;0.010871542564187374;10.135260629653931
11;50;0.4;0.7;0.022377939549369372;0.03307469351057587;11.406121063232423
12;50;0.4;0.8;0.014888718437004215;0.039587690192523554;11.54276876449585
13;50;0.4;0.9;0.011320130648695581;0.02288900723158919;10.499857139587402
14;50;0.5;0.3;0.0022893758766427508;0.01761140960760344;11.243874454498291
15;50;0.5;0.4;0.005510854788775764;0.01996699843075934;11.197926998138428
16;50;0.5;0.5;0.0046215155668303375;0.01655780303839055;11.394350576400758
17;50;0.5;0.6;0.005991623722870742;0.021544076039367394;12.378108024597168
18;50;0.5;0.7;0.009702078765637641;0.021421585173730308;11.736930704116821
19;50;0.5;0.8;0.010446125925546534;0.031526526214587944;10.90237045288086
20;50;0.5;0.9;0.00846624774996313;0.032730052964186386;12.186629438400269
21;50;0.6;0.3;0.008932669517176183;0.02031025054164412;13.974292421340943
22;50;0.6;0.4;0.005729610516072221;0.02731780795036683;10.965161085128784
23;50;0.6;0.5;0.007675456594729252;0.018649095449695747;11.200186014175415
24;50;0.6;0.6;0.011011373446572076;0.027161470112537323;12.545860767364502
25;50;0.6;0.7;0.019940247906702072;0.03091234405555223;11.04057240486145
26;50;0.6;0.8;0.019789463810891382;0.025785592235621824;10.948385095596313
27;50;0.6;0.9;0.019956292050311967;0.03343071922810391;11.51610746383667
28;50;0.7;0.3;0.017902456543511407;0.03236909058708607;12.32025637626648
29;50;0.7;0.4;0.020227006119606625;0.033090213134106206;10.448689413070678
30;50;0.7;0.5;0.006176748456831073;0.017062761604389676;10.561267518997193
31;50;0.7;0.6;0.0031042023931691443;0.022244248637327692;11.515846443176269
32;50;0.7;0.7;0.007800107248929207;0.017565375257091974;11.740320682525635
33;50;0.7;0.8;0.007240876281757376;0.02828783070219663;11.660275936126709
34;50;0.7;0.9;0.008447581005955463;0.02285960325301183;11.159544849395752
35;50;0.8;0.3;0.009912133630437962;0.023506274802857587;10.848311138153075
36;50;0.8;0.4;0.01648325947884919;0.03934283187773868;12.28005223274231
37;50;0.8;0.5;0.006447925337960629;0.022742234171680975;11.812967109680176
38;50;0.8;0.6;0.01182647765019941;0.023936412122214416;10.495654106140137
39;50;0.8;0.7;0.010529401201706357;0.028573138771351824;11.708073663711549
40;50;0.8;0.8;0.0053074644143980155;0.014063370664764407;11.20779972076416
41;50;0.8;0.9;0.008264245811090084;0.014591192135407636;10.317124271392823
42;50;0.9;0.3;0.003994559801151353;0.01291831247697511;11.089305019378662
43;50;0.9;0.4;0.013783894024728963;0.02650634453317404;10.532813453674317
44;50;0.9;0.5;0.01272180257187622;0.02806623639564611;11.132806444168091
45;50;0.9;0.6;0.007590330071229827;0.02023218961215751;10.972966957092286
46;50;0.9;0.7;0.0077064958417899345;0.028944684112410208;11.40702157020569
47;50;0.9;0.8;0.004523553728442997;0.011733359909017365;9.810084867477418
48;50;0.9;0.9;0.007794275819809457;0.020501299267091176;11.149682807922364
49;100;0.3;0.3;0.01779221476443803;0.06505061001685251;14.988915348052979
50;100;0.3;0.4;0.00522610209382245;0.07844639003683367;15.590893363952636
51;100;0.3;0.5;0.01745615166405538;0.06662861324913037;14.350893259048462
52;100;0.3;0.6;0.015547207115701109;0.07418170239471185;15.075065183639527
53;100;0.3;0.7;0.01086225547336703;0.05753837172923163;12.452017116546632
54;100;0.3;0.8;0.025948810542730183;0.06376356115811566;14.13439974784851
55;100;0.3;0.9;0.009818583931543345;0.06361348670711847;14.267498540878297
56;100;0.4;0.3;0.007800076394806882;0.0632409231800233;14.720097494125366
57;100;0.4;0.4;0.011949678160650009;0.07319091481855618;15.154852104187011
58;100;0.4;0.5;0.014988500668608832;0.0640772241656891;14.48278546333313
59;100;0.4;0.6;0.030742646382755257;0.07953054218715;14.645007181167603
60;100;0.4;0.7;0.018335463296244622;0.06867266799915336;12.761127376556397
61;100;0.4;0.8;0.002845089473869336;0.0529516287582635;13.949178314208984
62;100;0.4;0.9;0.017056097113967106;0.05328111993059057;13.851388263702393
63;100;0.5;0.3;0.005974437976734757;0.06452852741296207;13.907702445983887
64;100;0.5;0.4;0.008429839885617598;0.07573397328896922;15.36834683418274
65;100;0.5;0.5;0.007298357511652059;0.07682941804805715;14.762149333953857
66;100;0.5;0.6;0.01989902679927357;0.07141887001096556;13.886384963989258
67;100;0.5;0.7;0.018650329614588814;0.07218068914533464;14.541486358642578
68;100;0.5;0.8;0.02552459721486009;0.06408169801342649;13.764711141586304
69;100;0.5;0.9;0.01871419764780513;0.09305702026930711;13.948651552200317
70;100;0.6;0.3;0.021714761044078816;0.0806368167431746;15.615749168395997
71;100;0.6;0.4;0.009115048234249431;0.09670021332540177;14.91317572593689
72;100;0.6;0.5;0.02888812850618533;0.08588568917927417;14.485342073440552
73;100;0.6;0.6;0.014167225640516154;0.07688921333712632;15.319861936569215
74;100;0.6;0.7;0.020140059202889922;0.07359087680627745;14.709300184249878
75;100;0.6;0.8;0.023314207891373746;0.08308826932439964;14.505876636505127
76;100;0.6;0.9;0.011148118916724108;0.052571567679442946;13.248573446273804
77;100;0.7;0.3;0.012011571530037414;0.07677622554116588;13.795959901809692
78;100;0.7;0.4;0.03940429328941352;0.09407637876273736;15.329578495025634
79;100;0.7;0.5;0.022017038880513706;0.06753519992545644;13.765568971633911
80;100;0.7;0.6;0.005300707361608463;0.05356482358538478;15.259974670410156
81;100;0.7;0.7;0.006861308868894048;0.06419758609688564;12.980062484741211
82;100;0.7;0.8;0.015477970465199945;0.0586642386529337;14.256444597244263
83;100;0.7;0.9;0.01839852912228044;0.06626098638160749;15.07388744354248
84;100;0.8;0.3;0.01122565532613116;0.07946565596789691;14.085959863662719
85;100;0.8;0.4;0.01957678634569329;0.07222249648108736;13.207458209991454
86;100;0.8;0.5;0.0062494716231551554;0.04999308867659881;14.991744041442871
87;100;0.8;0.6;0.02007221098789346;0.061219762188766756;13.888290357589721
88;100;0.8;0.7;0.023259966344323365;0.06977588799706762;14.454074811935424
89;100;0.8;0.8;0.02374996066099403;0.06762581848273001;13.147915506362915
90;100;0.8;0.9;0.01967265010376241;0.0662483053373312;13.325207233428955
91;100;0.9;0.3;0.01060400646949237;0.06272531994182147;13.963998556137085
92;100;0.9;0.4;0.015651154653819832;0.05729027373160246;13.089993286132813
93;100;0.9;0.5;0.008072703419685794;0.07337681090557466;12.705748271942138
94;100;0.9;0.6;0.02604485942553327;0.07504645088116288;12.813459444046021
95;100;0.9;0.7;0.02087447987663288;0.07589787038676878;13.782980823516846
96;100;0.9;0.8;0.00626317085346822;0.05862175252648981;13.332579326629638
97;100;0.9;0.9;0.034338324090466756;0.080255428937094;13.353790235519408
98;200;0.3;0.3;0.04317654913920084;0.18652720809069137;20.425095891952516
99;200;0.3;0.4;0.09479129963116982;0.22198439521909202;20.949212169647218
100;200;0.3;0.5;0.11901851185631358;0.22083588136960217;22.363567495346068
101;200;0.3;0.6;0.0784104141302007;0.2212406257462841;21.632048892974854
102;200;0.3;0.7;0.016839100071643274;0.2048476454293629;22.313500690460206
103;200;0.3;0.8;0.09986729641987277;0.2229351958527123;22.574331283569336
104;200;0.3;0.9;0.11314561479615606;0.22728371414519583;23.077827501296998
105;200;0.4;0.3;0.03772348412154303;0.20844076224492122;21.7233895778656
106;200;0.4;0.4;0.06021684894253666;0.20205824764629327;22.8041130065918
107;200;0.4;0.5;0.040579033142881124;0.21212351028583876;20.539221143722536
108;200;0.4;0.6;0.03978919846543937;0.21533378915156715;21.28437294960022
109;200;0.4;0.7;0.036799742553203306;0.19154254567489998;20.84216351509094
110;200;0.4;0.8;0.04531146927947602;0.21506560512030332;22.30658903121948
111;200;0.4;0.9;0.025998084576085954;0.19610765990611706;21.34587140083313
112;200;0.5;0.3;0.11157211626573793;0.21045513532926594;21.08871121406555
113;200;0.5;0.4;0.03730349780843169;0.20891252177529682;20.84574465751648
114;200;0.5;0.5;0.05391153135797013;0.23076686686878167;21.27370743751526
115;200;0.5;0.6;0.009434635233309618;0.21145218629225396;20.382810020446776
116;200;0.5;0.7;0.11105947502327944;0.2212515789597101;21.015557765960693
117;200;0.5;0.8;0.06098409840243525;0.21631189568344658;20.653470611572267
118;200;0.5;0.9;0.038963326173120025;0.21148106575075176;20.690801429748536
119;200;0.6;0.3;0.05295628773073484;0.21329726280739186;20.838041639328004
120;200;0.6;0.4;0.07894206151201244;0.19824224065104668;20.801232862472535
121;200;0.6;0.5;0.11745158525395105;0.20692872512617794;20.710759592056274
122;200;0.6;0.6;0.040304986828375175;0.23129595335844036;21.134415102005004
123;200;0.6;0.7;0.0530904106004891;0.19366333462714955;20.76758542060852
124;200;0.6;0.8;0.045029524309654435;0.21311988245813557;20.831333684921265
125;200;0.6;0.9;0.09040631176609613;0.22287071073704942;21.281431198120117
126;200;0.7;0.3;0.05492049201217627;0.2127092140899669;20.89623804092407
127;200;0.7;0.4;0.014767184049159257;0.19413571123997164;20.699757242202757
128;200;0.7;0.5;0.06872252826083335;0.21273297176415848;20.575171136856078
129;200;0.7;0.6;0.07929956822741216;0.20936721897602575;20.235535383224487
130;200;0.7;0.7;0.06960989281894986;0.217293025919314;20.584005260467528
131;200;0.7;0.8;0.1103166620282636;0.19912025641009817;20.483240127563477
132;200;0.7;0.9;0.051792285111836936;0.2058474732633603;20.458357048034667
133;200;0.8;0.3;0.04028955976721182;0.20822595584528264;20.856720542907716
134;200;0.8;0.4;0.012354977911533827;0.21251572788885603;20.761196041107176
135;200;0.8;0.5;0.06585210755253378;0.18987339936526898;20.833096933364867
136;200;0.8;0.6;0.06642929561889976;0.21168914595172317;21.07968349456787
137;200;0.8;0.7;0.028510072945316007;0.19660925537278257;20.412382793426513
138;200;0.8;0.8;0.06888895539666369;0.20225065395312272;20.695551490783693
139;200;0.8;0.9;0.10031585365025864;0.2194604663045215;20.98575930595398
140;200;0.9;0.3;0.05046003496389142;0.19465004945915815;21.115009021759032
141;200;0.9;0.4;0.044447399583716185;0.20830994076625595;20.525711727142333
142;200;0.9;0.5;0.018564308321541916;0.17985935456878585;19.9542875289917
143;200;0.9;0.6;0.027127067766143036;0.19718955970550356;20.305424690246582
144;200;0.9;0.7;0.06963374305550842;0.1966684952876499;20.357645893096922
145;200;0.9;0.8;0.04487553138512178;0.21564945767709184;20.315604496002198
146;200;0.9;0.9;0.025977011210536805;0.19014130570943188;20.045547008514404
