,Tamaina,Gamma,Beta,Erakitzailea,ILS,ILS time
0,50,0.4,0.3,0.007925097298474758,0.019068125285014954,9.137580156326294
1,50,0.4,0.4,0.004648667194477853,0.019629145791281735,8.75781021118164
2,50,0.4,0.5,0.006900863853716905,0.022843188859934013,8.12973895072937
3,50,0.4,0.6,0.012586445537228892,0.032716723983341245,8.40094575881958
,50,0.4,0.7,0.016321367899000884,0.022635787449653784,8.645232391357421
4,50,0.5,0.3,0.007906368846222438,0.019254453329746027,8.098232650756836
5,50,0.5,0.4,0.015179117436343318,0.029171893869224187,8.051059007644653
6,50,0.5,0.5,0.0050667405520049315,0.015212871846168752,7.9358823776245115
7,50,0.5,0.6,0.013973677731160627,0.02804735367278216,8.85949764251709
,50,0.5,0.7,0.005546028488228227,0.013458012784714129,7.391535711288452
8,50,0.6,0.3,0.01485308192571685,0.04072481887087489,8.54848484992981
9,50,0.6,0.4,0.009957304065524282,0.02357409216373172,8.06491813659668
10,50,0.6,0.5,0.009441824243811745,0.024583855025118343,8.48683729171753
11,50,0.6,0.6,0.007007002034520826,0.016060465440606124,9.038824844360352
,50,0.6,0.7,0.00914152107120576,0.020687874144800868,8.399122095108032
12,50,0.7,0.3,0.00566355184017071,0.018749525617869228,8.618121910095216
13,50,0.7,0.4,0.010116110233139918,0.02749549684084641,8.963269186019897
14,50,0.7,0.5,0.010621809298074889,0.02536440261173975,8.89620132446289
15,50,0.7,0.6,0.0030820182792162315,0.00997859340992972,8.811387300491333
,50,0.7,0.7,0.010005806745821891,0.023645550311040407,8.637044286727905
,50,0.8,0.3,0.008330458757603227,0.018666836570033613,9.692119646072388
,50,0.8,0.4,0.020269276267194235,0.03955279418017203,9.178720092773437
,50,0.8,0.5,0.011154845115391332,0.024405024532112664,9.378512144088745
,50,0.8,0.6,0.010054124301385536,0.021601156165671827,9.43788766860962
,50,0.8,0.7,0.01101464398353871,0.017313327931804987,9.02314305305481
